statusCheckingAccount,duration,creditHistory,purpose,creditAmount,savings,presentEmployment,installmentRate,statusAndSex,otherDebtors,presentResidence,property,age,otherInstallmentPlans,housing,numberExistingCredits,job,numberLiablePeople,telephone,foreignWorker,costMatrix,ageRange
A14,12,A34,purpose#2,1216,A63,A72,4,A93,A102,2,A123,39,A143,A152,1,A172,1,A191,A201,1,thirties
A14,24,A32,business#2,6836,A64,A74,2,A93,A101,4,A123,31,A143,A152,1,A173,2,A192,A201,1,twenties
A14,12,A33,business#2,1553,A65,A73,2,A93,A101,4,A123,23,A143,A152,2,A173,1,A192,A201,1,thirties
A11,21,A32,car#1,2394,A61,A73,2,A93,A101,3,A123,27,A143,A151,1,A172,1,A192,A201,1,twenties
A11,24,A32,furniture#1,11590,A61,A72,3,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1,thirties
A13,24,A31,furniture#1,1107,A61,A71,4,A92,A101,1,A121,25,A143,A152,2,A172,1,A192,A201,1,forties
A12,36,A33,business#2,11998,A61,A73,3,A92,A101,4,A123,24,A143,A152,1,A173,1,A191,A201,2,thirties
A13,30,A32,car#1,3656,A61,A71,4,A92,A101,4,A121,25,A143,A152,2,A171,1,A191,A201,1,thirties
A13,48,A32,equipment#1,1965,A63,A74,4,A94,A101,4,A121,30,A143,A152,1,A173,2,A191,A201,1,twenties
A11,30,A33,home_appliance#1,2225,A63,A73,1,A93,A101,1,A123,26,A143,A152,2,A174,1,A191,A201,2,twenties
A14,12,A34,car#1,7882,A65,A75,4,A93,A101,4,A123,49,A143,A152,1,A174,1,A192,A201,1,thirties
A14,21,A32,radio#2,1501,A61,A72,2,A93,A101,4,A123,28,A143,A152,1,A173,1,A192,A201,2,forties
A14,30,A34,car#1,2331,A63,A73,1,A93,A101,1,A122,33,A143,A152,1,A173,1,A191,A201,1,forties
A14,24,A34,business#2,2406,A61,A72,2,A93,A101,3,A122,55,A141,A152,1,A174,1,A191,A202,1,forties
A11,24,A33,education#1,3357,A61,A75,4,A93,A101,3,A123,30,A143,A152,1,A173,1,A191,A201,1,sixties
A12,12,A34,business#2,6304,A61,A72,1,A92,A101,4,A124,28,A143,A151,1,A172,2,A192,A201,1,twenties
A14,9,A32,home_appliance#1,15945,A65,A73,4,A93,A101,4,A121,67,A143,A152,1,A172,2,A192,A201,1,twenties
A14,24,A33,business#2,3092,A62,A72,3,A93,A101,3,A122,57,A143,A153,1,A174,1,A192,A201,1,sixties
A12,10,A33,purpose#2,2964,A63,A74,3,A93,A101,4,A121,23,A143,A152,1,A173,2,A192,A201,1,twenties
A14,18,A34,radio#2,1376,A61,A74,1,A94,A101,4,A124,27,A143,A151,2,A174,1,A192,A201,1,twenties
A14,6,A31,equipment#1,7966,A63,A72,3,A92,A101,2,A124,37,A141,A151,1,A172,1,A191,A201,2,fifties
A14,6,A32,business#2,4006,A61,A74,3,A92,A101,2,A124,24,A143,A152,2,A173,1,A192,A201,1,thirties
A12,48,A34,equipment#1,745,A61,A73,4,A93,A101,2,A122,43,A143,A152,1,A173,1,A191,A201,1,twenties
A14,9,A32,business#2,5248,A61,A71,4,A91,A101,4,A122,27,A141,A152,1,A174,1,A191,A201,1,thirties
A14,24,A32,business#2,3835,A65,A74,4,A94,A101,4,A122,40,A143,A152,2,A173,2,A191,A201,1,twenties
A13,12,A32,radio#2,9572,A61,A75,4,A93,A101,2,A123,56,A143,A151,2,A173,1,A191,A201,2,thirties
A14,48,A34,purpose#2,1155,A61,A75,3,A93,A101,4,A121,31,A143,A152,1,A173,1,A191,A201,2,twenties
A11,6,A33,business#2,3905,A65,A73,4,A92,A101,4,A122,50,A143,A152,2,A173,1,A191,A201,1,twenties
A12,30,A32,business#2,2251,A65,A72,3,A92,A101,2,A121,63,A141,A151,1,A173,1,A191,A202,1,twenties
A14,9,A34,education#1,3711,A64,A74,4,A93,A101,1,A124,29,A143,A152,1,A173,2,A191,A201,2,thirties
A14,24,A32,equipment#1,2579,A62,A73,2,A92,A101,1,A123,51,A143,A152,1,A173,1,A192,A201,1,thirties
A12,18,A31,business#2,1333,A61,A73,4,A91,A101,2,A123,42,A143,A151,2,A173,1,A192,A201,1,twenties
A14,24,A32,education#1,3021,A61,A73,3,A93,A101,4,A124,26,A143,A152,3,A172,1,A191,A201,1,twenties
A11,48,A32,business#2,2901,A61,A75,4,A93,A101,4,A121,24,A143,A151,3,A173,1,A191,A201,1,thirties
A12,9,A34,business#2,766,A61,A75,4,A93,A101,4,A122,42,A142,A152,1,A172,1,A192,A201,1,forties
A12,21,A32,equipment#1,7418,A61,A75,4,A92,A101,3,A123,27,A143,A151,1,A173,2,A191,A201,1,fifties
A14,15,A32,radio#2,6288,A63,A73,3,A93,A101,4,A123,37,A143,A152,1,A172,1,A192,A201,1,twenties
A14,6,A32,car#1,6527,A61,A73,4,A93,A101,3,A122,35,A143,A151,2,A174,1,A191,A201,2,twenties
A12,9,A34,furniture#1,3621,A62,A73,4,A93,A101,4,A122,30,A143,A152,1,A173,1,A191,A201,2,thirties
A14,21,A32,home_appliance#1,518,A61,A73,2,A92,A101,1,A124,38,A143,A152,1,A174,1,A191,A201,1,thirties
A11,18,A32,education#1,1549,A61,A75,1,A92,A101,2,A123,33,A143,A151,3,A171,1,A191,A201,1,thirties
A14,18,A32,business#2,2697,A65,A75,4,A92,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,1,twenties
A11,18,A33,education#1,3758,A61,A73,4,A93,A101,4,A122,24,A143,A152,1,A173,1,A191,A201,1,thirties
A12,36,A34,business#2,1103,A65,A73,4,A93,A101,3,A122,51,A143,A153,1,A172,1,A191,A201,1,forties
A14,9,A33,education#1,4473,A61,A72,3,A93,A101,2,A124,33,A143,A152,1,A173,1,A192,A201,2,twenties
A12,18,A32,car#1,626,A64,A72,4,A93,A101,2,A121,28,A143,A152,1,A172,1,A191,A201,1,twenties
A12,10,A32,furniture#1,1577,A65,A74,4,A91,A102,4,A122,53,A143,A152,1,A173,2,A191,A201,1,thirties
A12,12,A32,education#1,1239,A61,A73,1,A93,A101,2,A122,39,A143,A152,1,A173,1,A191,A201,1,thirties
A14,18,A32,education#1,1474,A61,A74,4,A93,A101,1,A122,23,A143,A152,1,A173,1,A191,A201,1,thirties
A11,24,A34,home_appliance#1,5954,A61,A73,4,A93,A101,4,A123,45,A143,A152,1,A174,1,A191,A202,2,thirties
A14,24,A32,furniture#1,1963,A61,A74,2,A93,A101,3,A122,39,A142,A151,2,A173,1,A191,A201,2,twenties
A14,21,A32,car#1,2145,A62,A75,1,A94,A101,2,A123,35,A143,A152,2,A173,1,A191,A201,1,forties
A11,12,A34,education#1,3868,A65,A73,4,A92,A101,2,A122,30,A143,A151,2,A173,1,A191,A201,2,fifties
A14,6,A32,education#1,1291,A62,A72,4,A93,A101,1,A123,38,A143,A152,1,A173,1,A191,A201,1,twenties
A14,10,A34,equipment#1,2284,A61,A75,4,A93,A101,1,A121,26,A143,A153,2,A173,1,A191,A201,1,twenties
A12,48,A32,equipment#1,2002,A63,A73,2,A93,A101,3,A121,27,A143,A152,1,A173,2,A191,A201,1,twenties
A14,6,A32,education#1,11560,A61,A75,3,A92,A101,2,A121,36,A143,A152,1,A173,1,A191,A201,2,thirties
A12,18,A34,business#2,2394,A61,A73,1,A93,A101,4,A121,28,A143,A151,2,A173,1,A191,A201,1,forties
A12,36,A32,furniture#1,1471,A61,A73,3,A94,A101,3,A121,41,A143,A151,2,A173,2,A191,A201,2,twenties
A12,18,A34,business#2,1264,A61,A72,1,A93,A103,4,A123,61,A143,A151,1,A173,1,A191,A201,1,twenties
A14,4,A33,business#2,3757,A61,A74,4,A93,A101,4,A121,25,A143,A152,1,A172,1,A192,A201,2,forties
A13,7,A32,education#1,1592,A61,A73,4,A93,A101,2,A121,22,A142,A152,2,A172,1,A191,A201,1,thirties
A14,20,A34,education#1,433,A61,A72,2,A93,A101,3,A124,40,A143,A152,2,A172,1,A192,A201,2,forties
A12,24,A34,business#2,1068,A61,A73,4,A93,A101,2,A124,28,A143,A152,1,A173,2,A191,A201,1,twenties
A11,15,A33,purpose#2,433,A62,A75,2,A94,A101,4,A122,48,A143,A152,1,A174,1,A191,A201,1,fifties
A11,24,A34,education#1,717,A61,A73,2,A94,A101,4,A121,33,A143,A152,1,A172,1,A192,A201,2,forties
A12,6,A34,equipment#1,2463,A61,A71,1,A93,A101,3,A122,37,A143,A151,2,A172,1,A192,A201,1,thirties
A11,18,A32,business#2,15672,A61,A72,2,A92,A101,1,A121,25,A143,A152,1,A174,1,A192,A201,1,twenties
A11,21,A34,home_appliance#1,1149,A65,A71,2,A94,A101,4,A122,21,A143,A152,2,A172,1,A191,A201,1,thirties
A11,9,A32,home_appliance#1,3186,A61,A73,3,A93,A101,3,A122,48,A143,A152,2,A173,1,A191,A201,2,sixties
A12,24,A32,furniture#1,741,A65,A71,4,A92,A101,4,A121,42,A143,A151,1,A172,1,A192,A201,1,thirties
A11,48,A34,radio#2,1164,A61,A72,4,A93,A101,3,A123,39,A141,A152,1,A174,1,A191,A201,1,forties
A14,15,A34,equipment#1,1980,A65,A72,3,A93,A101,2,A121,26,A143,A152,2,A173,1,A191,A201,2,thirties
A12,36,A30,furniture#1,6070,A65,A74,4,A93,A101,2,A123,26,A143,A153,3,A172,1,A191,A201,1,forties
A14,13,A32,business#2,1804,A61,A72,4,A94,A103,4,A122,60,A142,A152,1,A173,1,A191,A201,2,thirties
A14,18,A34,car#1,1881,A62,A75,2,A93,A101,2,A121,37,A143,A152,2,A173,1,A191,A201,1,twenties
A12,18,A34,education#1,753,A61,A72,3,A93,A103,2,A122,19,A143,A151,1,A173,1,A191,A201,1,seventies
A11,12,A32,education#1,1884,A62,A72,4,A93,A101,4,A122,29,A143,A152,2,A173,1,A192,A201,1,forties
A14,18,A33,furniture#1,3485,A61,A75,2,A92,A101,3,A124,35,A143,A151,2,A173,1,A192,A201,1,twenties
A14,6,A34,equipment#1,4657,A61,A75,3,A92,A101,3,A123,22,A143,A151,1,A172,1,A191,A201,2,fifties
A14,9,A32,education#1,1199,A64,A71,1,A94,A101,4,A122,25,A143,A152,1,A174,1,A191,A201,1,thirties
A12,24,A34,furniture#1,1300,A61,A75,4,A94,A101,4,A122,32,A141,A152,2,A173,1,A191,A201,1,twenties
A12,24,A32,car#1,1603,A61,A75,4,A92,A101,1,A122,27,A143,A152,1,A173,1,A191,A201,1,thirties
A12,24,A34,business#2,1207,A65,A75,4,A93,A101,4,A123,43,A143,A152,2,A172,2,A191,A201,1,twenties
A11,12,A34,business#2,9283,A61,A74,3,A93,A101,3,A123,57,A142,A151,2,A173,1,A191,A201,1,forties
A14,24,A32,equipment#1,1198,A61,A73,1,A93,A101,2,A121,23,A143,A152,2,A174,1,A191,A201,2,twenties
A12,18,A33,business#2,3965,A61,A73,3,A93,A101,2,A121,37,A143,A151,1,A172,1,A192,A201,1,thirties
A11,12,A32,education#1,8065,A61,A72,2,A92,A102,3,A123,24,A143,A152,1,A173,1,A192,A201,1,thirties
A11,12,A32,car#1,1403,A62,A75,4,A93,A101,3,A124,40,A143,A152,1,A173,1,A191,A201,1,thirties
A14,18,A34,equipment#1,930,A62,A72,4,A92,A101,2,A121,26,A143,A152,1,A172,1,A192,A201,1,twenties
A14,12,A32,education#1,2238,A61,A74,2,A92,A101,4,A122,51,A143,A152,1,A173,2,A192,A201,2,twenties
A14,12,A34,home_appliance#1,2315,A61,A74,1,A93,A101,4,A121,32,A143,A151,1,A173,1,A191,A201,2,twenties
A11,24,A32,radio#2,1287,A61,A73,1,A93,A101,3,A123,21,A143,A153,1,A173,1,A191,A201,1,thirties
A13,24,A32,education#1,10222,A61,A73,1,A93,A101,1,A123,36,A141,A152,1,A172,1,A191,A201,1,twenties
A11,9,A32,education#1,2462,A65,A75,3,A92,A101,2,A121,49,A141,A152,1,A172,1,A192,A201,1,twenties
A12,30,A34,car#1,2384,A62,A73,4,A93,A103,2,A122,29,A143,A153,2,A172,1,A191,A201,1,forties
A12,24,A34,car#1,1278,A61,A74,2,A92,A101,2,A123,20,A141,A152,2,A172,1,A191,A201,1,forties
A14,12,A32,education#1,2299,A61,A72,4,A93,A102,2,A122,26,A143,A152,2,A173,2,A192,A201,1,twenties
A12,36,A34,education#1,2503,A61,A74,4,A93,A101,2,A124,37,A143,A152,1,A174,1,A192,A201,1,thirties
A12,10,A32,equipment#1,1437,A61,A75,2,A93,A101,3,A122,30,A141,A152,1,A174,2,A191,A202,2,twenties
A12,24,A32,education#1,1347,A61,A73,2,A94,A102,1,A122,27,A143,A151,1,A173,1,A191,A201,1,thirties
A14,15,A33,home_appliance#1,10366,A61,A74,3,A92,A101,3,A124,31,A141,A152,1,A173,1,A192,A201,1,twenties
A11,12,A33,education#1,3660,A61,A74,4,A93,A101,4,A121,52,A143,A152,1,A173,1,A191,A201,1,twenties
A13,30,A32,equipment#1,1979,A61,A75,4,A93,A101,4,A123,22,A143,A152,2,A173,1,A191,A201,2,thirties
A12,15,A34,purpose#2,1817,A61,A75,4,A93,A101,2,A124,29,A143,A152,1,A173,1,A191,A201,2,thirties
A14,36,A32,equipment#1,2631,A61,A71,4,A93,A101,3,A124,41,A143,A153,1,A171,1,A191,A201,1,forties
A12,48,A32,equipment#1,7763,A62,A75,4,A93,A101,2,A124,27,A143,A152,2,A171,1,A191,A201,1,twenties
A14,24,A32,education#1,5965,A62,A75,2,A93,A101,2,A122,22,A143,A152,1,A173,1,A192,A201,1,fifties
A14,9,A32,equipment#1,4933,A61,A74,1,A92,A101,4,A124,24,A143,A153,2,A173,1,A192,A202,1,twenties
A11,6,A34,home_appliance#1,590,A61,A73,2,A94,A101,4,A122,28,A143,A152,1,A171,2,A191,A201,1,thirties
A12,12,A32,education#1,8858,A61,A73,4,A93,A101,4,A121,49,A143,A152,2,A173,1,A192,A201,1,twenties
A14,36,A31,home_appliance#1,3069,A61,A72,2,A92,A101,4,A123,26,A143,A152,2,A173,2,A191,A202,1,twenties
A14,36,A34,furniture#1,674,A61,A74,3,A93,A101,3,A122,36,A141,A152,2,A172,1,A191,A201,2,twenties
A12,18,A32,car#1,1199,A61,A73,1,A93,A101,2,A121,27,A141,A152,1,A173,1,A191,A201,1,thirties
A14,36,A31,car#1,2511,A63,A75,1,A93,A101,1,A122,25,A143,A152,1,A173,1,A191,A201,2,twenties
A12,18,A34,car#1,2799,A63,A74,3,A92,A101,4,A121,29,A143,A152,1,A173,1,A192,A201,2,twenties
A11,24,A32,radio#2,609,A61,A73,4,A93,A101,4,A124,27,A143,A152,1,A174,1,A191,A201,1,twenties
A12,12,A32,business#2,1553,A61,A73,3,A93,A101,2,A121,57,A143,A152,3,A173,1,A192,A201,1,thirties
A14,30,A32,purpose#2,4221,A61,A73,1,A93,A101,4,A122,27,A141,A151,1,A172,1,A192,A201,1,sixties
A11,18,A32,education#1,3857,A61,A73,3,A93,A101,2,A122,68,A141,A152,1,A173,1,A191,A201,1,twenties
A11,10,A32,car#1,1533,A61,A72,4,A93,A101,2,A121,27,A143,A152,1,A173,2,A191,A201,1,thirties
A11,30,A31,equipment#1,1884,A63,A73,3,A94,A101,2,A122,45,A143,A152,1,A174,1,A191,A201,1,forties
A11,18,A32,equipment#1,3488,A61,A72,4,A92,A101,4,A123,42,A141,A152,2,A173,1,A191,A201,1,forties
A14,24,A34,education#1,11760,A62,A72,3,A92,A101,4,A124,28,A143,A151,2,A173,2,A192,A201,1,twenties
A12,12,A34,home_appliance#1,3380,A61,A74,4,A92,A101,2,A123,27,A143,A151,1,A173,1,A191,A201,1,twenties
A11,36,A32,home_appliance#1,2329,A61,A72,3,A93,A101,4,A122,30,A143,A152,1,A173,2,A191,A201,2,forties
A14,12,A32,business#2,2859,A62,A73,3,A93,A101,2,A121,30,A143,A151,2,A172,2,A191,A201,2,thirties
A11,24,A32,business#2,6560,A61,A74,4,A93,A101,2,A124,29,A142,A151,1,A173,1,A191,A201,1,thirties
A14,9,A32,car#1,3872,A61,A74,4,A93,A101,2,A123,31,A143,A152,1,A172,1,A192,A201,2,forties
A12,18,A32,education#1,1201,A65,A73,1,A92,A101,2,A121,25,A143,A151,1,A173,1,A192,A201,2,twenties
A11,12,A34,equipment#1,1275,A61,A75,4,A93,A101,2,A122,34,A143,A151,2,A173,1,A191,A201,1,twenties
A12,18,A33,furniture#1,5433,A61,A72,4,A93,A101,3,A124,52,A143,A151,1,A173,1,A191,A201,1,thirties
A14,36,A32,business#2,1374,A61,A74,4,A93,A101,2,A122,23,A143,A152,1,A173,1,A192,A201,2,thirties
A13,24,A32,furniture#1,660,A61,A74,1,A92,A101,1,A121,23,A143,A152,1,A173,1,A192,A202,1,thirties
A11,24,A34,business#2,1330,A61,A73,4,A92,A101,4,A122,41,A143,A153,1,A174,1,A192,A201,1,twenties
A14,11,A32,home_appliance#1,1240,A65,A75,2,A92,A101,4,A121,59,A141,A152,1,A172,1,A192,A201,1,twenties
A14,12,A32,furniture#1,684,A63,A73,4,A93,A101,4,A122,40,A143,A152,2,A174,1,A191,A201,1,fifties
A14,12,A31,car#1,6560,A61,A74,2,A93,A101,2,A123,36,A143,A152,2,A173,1,A191,A201,2,twenties
A13,24,A34,radio#2,958,A61,A73,4,A93,A101,1,A123,26,A143,A153,1,A173,1,A191,A201,1,thirties
A12,36,A31,business#2,4351,A65,A73,4,A93,A101,4,A121,53,A143,A151,2,A173,1,A191,A201,1,thirties
A11,12,A34,radio#2,1572,A61,A72,4,A93,A101,2,A123,37,A141,A152,1,A173,2,A192,A201,2,twenties
A11,18,A32,purpose#2,3368,A61,A74,4,A92,A101,4,A122,63,A142,A152,1,A174,1,A191,A201,1,twenties
A11,9,A34,education#1,2718,A61,A75,4,A92,A101,2,A123,35,A143,A152,2,A172,1,A192,A201,1,thirties
A14,10,A32,car#1,8086,A61,A72,2,A93,A101,1,A124,36,A141,A152,3,A173,1,A192,A201,2,forties
A11,30,A31,business#2,5866,A62,A73,3,A93,A101,2,A123,59,A143,A152,2,A173,2,A191,A201,1,twenties
A14,48,A32,car#1,2835,A63,A74,1,A93,A101,4,A124,28,A143,A152,1,A173,1,A191,A201,2,twenties
A13,24,A34,car#1,1442,A61,A73,3,A91,A101,1,A124,33,A143,A152,2,A172,1,A191,A201,1,forties
A12,33,A32,business#2,975,A63,A74,3,A93,A101,2,A121,23,A143,A153,1,A174,1,A192,A201,1,sixties
A14,6,A32,business#2,701,A61,A73,3,A93,A101,4,A124,34,A143,A152,2,A173,1,A191,A201,1,twenties
A11,8,A32,business#2,2069,A61,A72,2,A92,A101,4,A122,46,A143,A151,2,A173,1,A192,A201,1,twenties
A11,18,A34,business#2,2760,A61,A74,3,A93,A101,4,A122,31,A141,A151,2,A173,2,A191,A201,2,twenties
A12,36,A32,furniture#1,3915,A61,A73,1,A93,A101,2,A121,36,A141,A153,2,A173,1,A192,A201,1,forties
A12,18,A32,business#2,2366,A65,A75,2,A92,A101,2,A123,34,A143,A152,1,A173,1,A191,A201,2,twenties
A12,12,A32,education#1,2862,A65,A73,1,A92,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,2,thirties
A14,12,A32,business#2,1655,A65,A75,2,A93,A101,3,A123,46,A143,A152,2,A173,1,A191,A201,1,forties
A14,12,A34,business#2,2503,A65,A74,4,A93,A101,4,A124,50,A143,A151,1,A172,1,A192,A201,1,twenties
A12,54,A32,equipment#1,4249,A62,A74,1,A93,A101,4,A123,40,A143,A151,1,A174,1,A191,A201,2,forties
A11,24,A32,purpose#2,1422,A62,A73,4,A93,A101,2,A123,28,A143,A152,2,A173,1,A191,A201,1,forties
A12,48,A32,education#1,3509,A61,A72,1,A92,A101,1,A122,30,A143,A152,2,A173,1,A192,A201,2,twenties
A11,24,A30,business#2,2186,A64,A72,3,A94,A101,2,A123,64,A141,A151,2,A172,1,A191,A201,2,twenties
A11,36,A31,education#1,1934,A61,A73,2,A93,A101,4,A122,28,A143,A152,1,A173,1,A191,A202,1,seventies
A14,48,A32,education#1,448,A61,A75,1,A94,A101,4,A123,30,A141,A152,1,A172,1,A191,A201,1,thirties
A14,24,A32,equipment#1,1829,A65,A72,2,A94,A101,4,A122,47,A143,A152,2,A173,1,A191,A201,2,twenties
A12,9,A32,equipment#1,3414,A65,A73,4,A93,A101,4,A123,29,A142,A152,1,A173,1,A191,A201,1,twenties
A11,36,A32,business#2,1275,A61,A72,4,A93,A101,3,A124,20,A143,A152,1,A173,1,A191,A201,2,forties
A12,6,A32,furniture#1,3568,A65,A75,2,A92,A101,1,A124,39,A143,A152,1,A173,2,A191,A201,2,thirties
A14,24,A32,education#1,3349,A65,A71,4,A93,A101,1,A121,62,A143,A152,1,A172,1,A192,A201,2,thirties
A11,9,A32,education#1,1582,A61,A75,4,A92,A101,2,A122,35,A143,A152,1,A173,1,A192,A201,1,thirties
A13,48,A34,education#1,1537,A61,A72,2,A93,A101,3,A121,30,A143,A151,2,A174,1,A191,A201,2,twenties
A11,9,A34,equipment#1,1927,A62,A74,3,A92,A101,2,A121,28,A143,A152,1,A172,1,A191,A201,1,twenties
A12,18,A34,equipment#1,5096,A61,A75,2,A92,A103,2,A123,49,A143,A151,1,A173,1,A191,A201,1,thirties
A14,6,A32,car#1,1543,A62,A71,4,A93,A101,1,A121,26,A143,A152,2,A172,1,A192,A201,1,thirties
A11,7,A32,education#1,4455,A61,A73,4,A93,A101,4,A121,23,A143,A152,3,A173,1,A192,A201,2,twenties
A14,12,A33,car#1,1092,A61,A75,2,A93,A101,4,A123,26,A143,A153,1,A172,2,A191,A201,1,thirties
A14,6,A34,education#1,3051,A64,A74,2,A93,A101,2,A123,36,A143,A152,1,A173,1,A191,A201,2,forties
A11,12,A31,education#1,1670,A63,A75,4,A93,A101,4,A123,24,A143,A152,1,A173,2,A191,A201,2,twenties
A11,9,A32,car#1,1819,A61,A73,3,A93,A101,2,A123,46,A143,A152,1,A173,2,A191,A201,1,thirties
A14,12,A33,business#2,2625,A62,A74,2,A92,A101,4,A123,29,A143,A152,2,A174,1,A191,A201,1,thirties
A13,18,A32,business#2,1264,A65,A72,4,A92,A101,3,A124,52,A143,A152,1,A173,1,A192,A201,2,twenties
A14,12,A34,car#1,1204,A61,A73,1,A92,A101,3,A121,28,A143,A151,1,A174,1,A192,A201,1,sixties
A12,36,A32,furniture#1,1941,A61,A72,4,A93,A101,2,A123,63,A143,A152,1,A173,1,A191,A201,1,thirties
A11,12,A32,purpose#2,2069,A61,A75,4,A92,A101,4,A121,40,A142,A152,1,A173,1,A191,A201,1,thirties
A14,12,A30,car#1,3249,A65,A75,4,A93,A101,2,A123,26,A143,A153,2,A173,1,A192,A201,1,twenties
A11,24,A32,furniture#1,1190,A61,A74,4,A92,A101,1,A122,50,A143,A152,2,A173,1,A191,A201,2,twenties
A14,24,A34,equipment#1,1480,A62,A72,4,A93,A101,3,A122,44,A143,A152,1,A173,1,A191,A201,1,twenties
A14,36,A32,home_appliance#1,1445,A61,A73,3,A92,A101,4,A123,39,A143,A151,1,A172,1,A192,A201,2,thirties
A11,6,A34,car#1,10477,A61,A71,2,A93,A101,4,A123,54,A143,A151,1,A173,1,A192,A201,1,thirties
A12,36,A32,car#1,3001,A61,A73,2,A92,A101,4,A121,24,A141,A152,1,A173,1,A191,A201,1,twenties
