statusCheckingAccount,duration,creditHistory,purpose,creditAmount,savings,presentEmployment,installmentRate,statusAndSex,otherDebtors,presentResidence,property,age,otherInstallmentPlans,housing,numberExistingCredits,job,numberLiablePeople,telephone,foreignWorker,costMatrix,ageRange
A14,48,A34,equipment#1,2096,A61,A73,2,A92,A101,2,A124,54,A143,A152,1,A173,1,A191,A201,2,teens
A14,15,A32,furniture#1,2327,A61,A74,4,A93,A101,1,A123,25,A143,A152,2,A172,1,A192,A201,1,twenties
A11,6,A32,used-car#1,2149,A61,A75,3,A92,A101,1,A121,55,A143,A152,1,A173,1,A191,A201,1,fifties
A11,36,A34,car#1,590,A61,A72,3,A94,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1,thirties
A13,24,A33,furniture#1,930,A61,A73,3,A92,A103,4,A122,44,A143,A153,1,A174,1,A191,A201,2,twenties
A11,30,A34,equipment#1,1778,A61,A75,4,A93,A101,3,A122,30,A143,A152,1,A173,1,A192,A201,1,twenties
A14,24,A34,furniture#1,4151,A65,A73,2,A93,A101,2,A123,27,A143,A153,2,A174,2,A192,A202,1,sixties
A12,24,A34,car#1,750,A61,A73,3,A91,A101,4,A122,29,A141,A152,2,A173,1,A191,A201,2,thirties
A12,24,A32,car#1,9572,A63,A73,2,A92,A102,4,A122,35,A143,A152,2,A173,1,A191,A201,1,thirties
A14,12,A32,car#1,2406,A61,A75,4,A94,A101,4,A123,42,A141,A152,1,A174,1,A191,A201,1,thirties
A14,12,A32,business#2,1262,A61,A73,1,A92,A101,4,A123,24,A143,A153,1,A173,1,A192,A201,1,forties
A12,12,A32,education#1,3552,A65,A75,2,A93,A101,4,A122,31,A143,A152,1,A172,1,A192,A201,2,twenties
A11,12,A34,used-car#1,1845,A61,A73,3,A93,A101,4,A122,33,A143,A152,1,A173,1,A192,A201,1,twenties
A12,24,A32,used-car#1,1169,A61,A73,1,A94,A101,4,A122,31,A141,A151,2,A173,1,A192,A201,2,thirties
A14,6,A32,used-car#1,1412,A61,A74,2,A91,A101,1,A121,24,A141,A152,1,A173,1,A192,A201,2,thirties
A14,12,A34,television#3,385,A61,A73,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1,twenties
A13,6,A34,car#1,4771,A65,A74,4,A93,A101,3,A121,25,A143,A152,1,A174,1,A191,A201,1,twenties
A14,6,A34,used-car#1,3973,A65,A73,1,A91,A101,3,A123,42,A143,A152,2,A174,1,A192,A201,1,twenties
A14,21,A32,television#3,2611,A65,A74,4,A92,A101,4,A122,25,A143,A152,1,A173,1,A191,A201,1,twenties
A13,15,A32,used-car#1,1597,A61,A74,4,A93,A103,3,A123,30,A143,A152,2,A174,1,A192,A201,2,forties
A13,45,A32,equipment#1,2390,A63,A73,3,A93,A101,4,A121,65,A143,A153,1,A171,2,A192,A201,1,forties
A14,24,A33,radio#2,1525,A61,A72,1,A93,A101,4,A122,24,A143,A152,2,A173,1,A192,A201,2,forties
A12,30,A32,equipment#1,6761,A61,A74,1,A93,A101,2,A122,35,A143,A151,1,A174,1,A191,A201,1,twenties
A11,36,A32,purpose#2,4746,A61,A73,4,A93,A101,4,A121,40,A143,A152,1,A172,1,A191,A201,2,twenties
A12,6,A32,radio#2,2100,A61,A73,2,A93,A101,3,A123,28,A143,A152,1,A174,2,A192,A201,1,thirties
A12,21,A32,education#1,3161,A61,A73,4,A93,A103,1,A122,50,A141,A153,1,A173,1,A192,A201,2,twenties
A11,21,A32,radio#2,5742,A62,A73,3,A93,A101,4,A124,29,A141,A152,2,A173,1,A192,A201,1,fifties
A13,27,A32,business#2,2812,A61,A73,4,A92,A101,4,A121,39,A143,A152,2,A173,2,A191,A201,1,twenties
A14,15,A33,retraining#1,2359,A61,A74,4,A93,A101,1,A123,63,A143,A152,2,A173,1,A192,A201,1,twenties
A14,24,A31,business#2,3123,A61,A73,4,A92,A101,4,A121,45,A143,A151,2,A174,1,A192,A201,2,fifties
A12,24,A32,business#2,368,A61,A73,3,A93,A101,4,A123,23,A143,A151,2,A172,2,A192,A201,1,thirties
A12,18,A34,furniture#1,2718,A61,A74,3,A93,A101,2,A121,22,A143,A152,2,A173,1,A192,A201,1,thirties
A13,27,A32,equipment#1,4169,A61,A73,2,A92,A101,4,A121,32,A143,A152,1,A173,1,A192,A201,1,twenties
A14,12,A32,purpose#2,4221,A63,A73,2,A93,A101,2,A122,30,A143,A152,1,A172,1,A192,A201,1,twenties
A14,6,A32,education#1,727,A63,A75,2,A92,A101,3,A123,41,A143,A152,1,A173,2,A191,A201,1,twenties
A14,15,A32,television#3,2831,A63,A73,2,A92,A101,4,A121,32,A143,A152,2,A173,1,A192,A201,1,thirties
A11,24,A34,education#1,3878,A61,A73,4,A91,A101,2,A121,22,A141,A153,1,A173,2,A191,A201,1,forties
A11,60,A32,business#2,1388,A61,A73,4,A94,A101,3,A122,29,A143,A152,1,A173,1,A191,A201,2,twenties
A14,24,A33,equipment#1,11328,A61,A73,3,A92,A101,4,A124,53,A143,A152,1,A173,1,A192,A201,1,twenties
A12,12,A33,car#1,2397,A63,A73,2,A94,A101,1,A122,25,A143,A151,1,A172,1,A191,A201,2,thirties
A14,12,A34,used-car#1,5800,A62,A75,1,A92,A101,4,A122,26,A143,A152,1,A174,1,A191,A201,1,fifties
A11,24,A32,radio#2,874,A64,A75,4,A93,A101,3,A123,58,A143,A152,1,A174,1,A191,A201,2,twenties
A12,24,A34,used-car#1,2116,A65,A71,4,A92,A103,2,A121,34,A141,A152,1,A174,1,A191,A201,1,thirties
A12,12,A34,car#1,950,A61,A73,4,A93,A101,2,A123,32,A143,A151,2,A173,1,A191,A201,1,sixties
A11,18,A34,home_appliance#1,3399,A65,A71,2,A92,A101,1,A121,53,A143,A153,2,A171,1,A192,A201,1,twenties
A14,21,A32,equipment#1,1103,A61,A74,1,A92,A101,4,A122,46,A142,A152,2,A173,2,A192,A201,1,twenties
A14,12,A34,equipment#1,1154,A61,A73,1,A93,A101,2,A121,51,A143,A152,1,A172,1,A192,A201,1,twenties
A12,12,A34,furniture#1,802,A62,A73,4,A92,A101,4,A123,23,A143,A152,1,A172,1,A191,A201,1,fifties
A14,48,A32,education#1,4153,A61,A75,4,A93,A103,2,A122,20,A143,A152,1,A173,2,A191,A201,1,sixties
A14,36,A34,used-car#1,3535,A61,A75,3,A93,A101,4,A123,49,A141,A152,2,A174,1,A192,A201,1,thirties
A12,15,A32,repair#1,932,A65,A73,4,A93,A101,1,A123,26,A143,A152,2,A172,1,A191,A201,1,twenties
A12,36,A32,radio#2,6614,A61,A75,4,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1,twenties
A11,60,A34,radio#2,783,A65,A73,2,A93,A101,4,A123,49,A141,A152,2,A172,1,A191,A201,1,twenties
A13,28,A31,car#1,3062,A61,A73,4,A93,A101,2,A123,48,A141,A152,1,A172,1,A191,A201,1,thirties
A14,12,A32,equipment#1,1582,A61,A71,4,A94,A101,4,A121,42,A143,A152,1,A173,1,A191,A201,2,sixties
A12,18,A32,car#1,3235,A64,A75,4,A92,A101,3,A123,28,A143,A152,2,A173,2,A192,A201,1,thirties
A14,15,A32,used-car#1,2578,A61,A73,4,A93,A103,1,A121,27,A143,A153,1,A173,1,A191,A201,1,thirties
A11,15,A34,car#1,1240,A61,A75,4,A93,A102,2,A124,46,A143,A152,1,A173,1,A191,A201,2,twenties
A14,6,A32,car#1,1138,A65,A75,2,A93,A101,4,A121,36,A141,A151,1,A173,1,A192,A201,1,thirties
A11,18,A32,used-car#1,2835,A62,A73,4,A92,A101,3,A124,34,A143,A152,1,A173,1,A191,A201,1,thirties
A12,24,A32,used-car#1,2389,A64,A73,4,A92,A101,1,A121,52,A143,A152,2,A173,2,A192,A201,1,forties
A11,24,A34,television#3,759,A61,A75,4,A93,A103,1,A122,50,A143,A152,1,A172,1,A191,A201,1,thirties
A13,18,A32,car#1,6842,A61,A75,1,A93,A101,4,A122,31,A143,A152,2,A173,1,A191,A201,1,twenties
A12,18,A32,car#1,12680,A62,A74,4,A92,A101,4,A122,39,A143,A151,2,A173,1,A192,A201,1,thirties
A11,24,A32,car#1,1908,A65,A73,4,A93,A103,2,A123,30,A141,A152,2,A173,1,A191,A201,1,twenties
A11,10,A32,television#3,1597,A65,A73,3,A93,A101,1,A123,41,A141,A152,1,A174,2,A192,A201,1,sixties
A14,48,A34,used-car#1,1766,A61,A75,4,A92,A101,1,A123,40,A143,A151,1,A171,1,A191,A201,2,twenties
A14,12,A33,equipment#1,1216,A61,A75,4,A92,A102,3,A122,26,A143,A152,1,A173,1,A191,A201,2,sixties
A14,24,A32,education#1,7308,A62,A74,4,A92,A101,2,A124,33,A143,A152,1,A172,2,A192,A201,1,twenties
A11,36,A32,equipment#1,4712,A65,A72,4,A93,A101,1,A122,36,A141,A151,1,A173,1,A192,A201,2,twenties
A14,18,A30,radio#2,2150,A62,A73,4,A93,A101,4,A122,55,A143,A152,1,A173,1,A191,A201,1,thirties
A14,24,A30,car#1,15945,A61,A75,4,A94,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,1,thirties
A12,18,A32,business#2,3872,A61,A72,1,A93,A101,2,A123,25,A143,A152,1,A174,1,A192,A201,1,twenties
A11,24,A32,business#2,585,A61,A73,4,A94,A101,4,A123,39,A143,A151,2,A173,2,A191,A201,2,thirties
A14,24,A34,radio#2,1278,A61,A73,4,A92,A101,1,A124,31,A143,A151,1,A173,1,A191,A201,1,thirties
A14,18,A34,car#1,3965,A61,A74,4,A92,A101,2,A122,20,A143,A152,3,A173,1,A191,A201,1,thirties
A14,24,A34,car#1,1901,A61,A75,2,A92,A101,4,A123,35,A143,A152,2,A173,1,A191,A201,1,twenties
A13,15,A32,business#2,3595,A61,A74,4,A93,A101,3,A122,61,A143,A152,2,A173,1,A191,A201,1,thirties
A11,15,A30,used-car#1,1526,A61,A74,3,A93,A101,1,A123,42,A143,A151,1,A171,1,A191,A201,2,thirties
A11,12,A34,television#3,886,A61,A73,4,A92,A101,2,A123,35,A143,A152,2,A173,1,A191,A201,1,fifties
A11,15,A32,television#3,4380,A61,A73,4,A93,A101,2,A121,38,A143,A152,1,A173,2,A192,A201,1,thirties
A14,12,A34,television#3,2675,A65,A74,4,A92,A101,3,A123,47,A143,A152,2,A172,1,A191,A201,1,twenties
A12,21,A32,furniture#1,1935,A61,A74,2,A93,A101,4,A123,26,A141,A152,2,A174,2,A192,A201,1,forties
A11,27,A34,business#2,760,A61,A73,4,A93,A101,4,A123,57,A143,A152,1,A173,1,A191,A201,1,thirties
A11,30,A33,education#1,1935,A61,A73,3,A93,A101,3,A124,43,A143,A153,1,A173,1,A191,A201,1,thirties
A12,24,A32,television#3,2301,A62,A75,3,A93,A101,2,A121,30,A143,A152,1,A173,1,A192,A201,1,twenties
A11,9,A32,purpose#2,454,A61,A74,4,A94,A101,4,A121,33,A143,A153,1,A173,1,A192,A201,2,thirties
A14,24,A32,car#1,9960,A61,A74,2,A93,A101,2,A122,59,A143,A152,2,A173,1,A191,A201,1,thirties
A12,12,A32,business#2,7855,A65,A75,2,A91,A101,4,A121,51,A141,A152,2,A173,1,A191,A201,2,thirties
A14,10,A32,radio#2,2221,A65,A71,4,A94,A103,4,A122,62,A143,A152,2,A172,1,A191,A201,1,thirties
A14,12,A31,radio#2,3632,A61,A75,4,A92,A101,3,A123,58,A143,A152,1,A172,1,A191,A201,1,twenties
A14,18,A32,used-car#1,4169,A62,A75,4,A93,A101,2,A123,27,A143,A153,1,A173,1,A192,A201,1,thirties
A14,12,A32,television#3,2028,A61,A72,3,A91,A101,4,A123,26,A143,A151,1,A173,1,A191,A201,2,twenties
A12,12,A34,radio#2,4817,A61,A71,2,A93,A101,4,A121,53,A143,A152,2,A173,1,A191,A201,1,thirties
A11,24,A32,business#2,1858,A61,A71,1,A94,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,1,twenties
A14,6,A32,television#3,3913,A65,A74,1,A93,A101,2,A122,49,A143,A152,2,A173,1,A191,A201,1,twenties
A14,12,A33,television#3,7855,A61,A75,2,A93,A101,2,A124,24,A142,A152,2,A174,2,A192,A201,1,twenties
A11,24,A32,business#2,1403,A61,A74,1,A93,A101,1,A121,27,A141,A152,1,A173,2,A192,A201,1,twenties
A14,9,A34,repair#1,3832,A62,A71,2,A92,A101,3,A123,29,A143,A153,1,A174,1,A192,A201,1,thirties
A14,21,A32,television#3,1282,A61,A73,1,A93,A101,1,A121,37,A141,A152,1,A172,1,A191,A201,1,twenties
A12,18,A31,car#1,4811,A61,A75,1,A92,A101,2,A121,32,A143,A151,1,A172,1,A191,A201,2,thirties
A14,12,A32,business#2,2631,A61,A73,1,A93,A101,4,A123,25,A141,A152,1,A173,2,A192,A201,1,thirties
A11,4,A32,education#1,2002,A62,A75,4,A92,A103,2,A123,63,A143,A152,1,A173,1,A191,A201,2,thirties
A14,18,A32,television#3,10477,A65,A73,4,A92,A101,2,A122,55,A143,A152,2,A174,1,A192,A201,2,twenties
A14,12,A32,equipment#1,2775,A61,A75,4,A93,A101,4,A124,27,A143,A152,1,A173,2,A191,A201,1,forties
A14,20,A31,car#1,1313,A61,A74,3,A93,A101,3,A123,48,A143,A152,1,A172,1,A192,A201,1,twenties
A14,24,A32,home_appliance#1,2100,A61,A75,1,A92,A103,4,A121,30,A141,A152,1,A172,1,A191,A202,2,forties
A14,12,A34,used-car#1,4844,A62,A71,4,A92,A101,4,A123,26,A143,A151,1,A173,2,A191,A201,2,forties
A11,18,A32,car#1,1223,A61,A75,4,A92,A101,4,A123,43,A143,A152,1,A173,2,A191,A201,1,thirties
